"file","arc","id","stimulus_period","recorded_radian","recorded_degree","type","obstacle"
"15_13",15,"13",42,-2.657176523,-152.2450002,"stimulus","none"
"15_14",15,"14",42,0.464291396,26.60193743,"stimulus","none"
"15_16",15,"16",42,1.998908337,114.5290113,"stimulus","none"
"15_19",15,"19",42,-0.719809094,-41.24202315,"stimulus","none"
"15_21",15,"21",42,-0.700095252,-40.1125032,"stimulus","none"
"15_23",15,"23",42,-1.256690768,-72.00307716,"stimulus","none"
"15_24",15,"24",42,0.023669961,1.356188891,"stimulus","none"
"15_25",15,"25",42,2.714894178,155.5519782,"stimulus","none"
"15_26",15,"26",42,1.635454605,93.70464646,"stimulus","none"
"15_27",15,"27",42,2.913542001,166.9336601,"stimulus","none"
"15_28",15,"28",42,-3.052060139,-174.8701648,"stimulus","none"
"15_29",15,"29",42,2.708165859,155.1664739,"stimulus","none"
"15_30",15,"30",42,-3.00055077,-171.9188954,"stimulus","none"
"15_32",15,"32",42,0.076209389,4.366476331,"stimulus","none"
"15_35",15,"35",42,-0.290511173,-16.64506411,"stimulus","none"
"15_36",15,"36",42,2.479920023,142.0889508,"stimulus","none"
"15_41",15,"41",42,0.022173748,1.270462156,"stimulus","none"
"15_42",15,"42",42,3.126127879,179.1139337,"stimulus","none"
"15_44",15,"44",42,0.901444267,51.64895198,"stimulus","none"
"15_47",15,"47",42,-0.23583321,-13.51224759,"stimulus","none"
"15_48",15,"48",42,-0.236770833,-13.56596941,"stimulus","none"
"15_49",15,"49",42,-1.860784802,-106.6151157,"stimulus","none"
"15_50",15,"50",42,-1.555347688,-89.11485818,"stimulus","none"
"15_51",15,"51",42,0.156076956,8.942550853,"stimulus","none"
"15_101",15,"101",42,1.410607986,80.82188417,"stimulus","none"
"15_102",15,"102",42,-0.891725911,-51.09213121,"stimulus","none"
"15_104",15,"104",42,-2.644873067,-151.5400641,"stimulus","none"
"15_105",15,"105",42,1.144436139,65.57136066,"stimulus","none"
"15_107",15,"107",42,-0.027644703,-1.583924801,"stimulus","none"
"15_109",15,"109",42,-0.380353312,-21.79263952,"stimulus","none"
"15_110",15,"110",42,2.903913221,166.3819716,"stimulus","none"
"15_112",15,"112",42,0.058606764,3.357920208,"stimulus","none"
"15_116",15,"116",42,-0.275801171,-15.80224309,"stimulus","none"
"15_119",15,"119",42,-1.882557693,-107.8626105,"stimulus","none"
"15_120",15,"120",42,0.320712574,18.37547692,"stimulus","none"
"15_121",15,"121",42,2.377801707,136.2380023,"stimulus","none"
"20_2",20,"2",56,-2.699461402,-154.6677453,"stimulus","none"
"20_3",20,"3",56,2.880179842,165.0221492,"stimulus","none"
"20_5",20,"5",56,-2.187760451,-125.3494404,"stimulus","none"
"20_7",20,"7",56,-2.230686027,-127.8088948,"stimulus","none"
"20_9",20,"9",56,1.134375051,64.9949028,"stimulus","none"
"20_10",20,"10",56,-2.947900429,-168.902253,"stimulus","none"
"20_11",20,"11",56,0.173388172,9.934410498,"stimulus","none"
"20_13",20,"13",56,-0.239899445,-13.74522569,"stimulus","none"
"20_14",20,"14",56,0.134177734,7.687817868,"stimulus","none"
"20_16",20,"16",56,1.620691643,92.85879106,"stimulus","none"
"20_18",20,"18",56,2.171413551,124.412832,"stimulus","none"
"20_19",20,"19",56,-2.072481369,-118.7444355,"stimulus","none"
"20_20",20,"20",56,-2.990470726,-171.3413513,"stimulus","none"
"20_22",20,"22",56,-1.115020831,-63.88598767,"stimulus","none"
"20_24",20,"24",56,2.829088603,162.0948368,"stimulus","none"
"20_26",20,"26",56,-1.890059805,-108.2924499,"stimulus","none"
"20_27",20,"27",56,-1.971945366,-112.9841469,"stimulus","none"
"20_28",20,"28",56,-3.00301254,-172.0599443,"stimulus","none"
"20_29",20,"29",56,-0.642033033,-36.78578311,"stimulus","none"
"20_30",20,"30",56,2.534710632,145.2282215,"stimulus","none"
"20_33",20,"33",56,-0.137032411,-7.851378786,"stimulus","none"
"20_35",20,"35",56,-0.180127187,-10.32052757,"stimulus","none"
"20_36",20,"36",56,1.168187568,66.9322173,"stimulus","none"
"20_39",20,"39",56,-2.147296247,-123.0310123,"stimulus","none"
"20_41",20,"41",56,0.181913214,10.42285939,"stimulus","none"
"20_47",20,"47",56,1.254081426,71.85357287,"stimulus","none"
"20_48",20,"48",56,2.231910611,127.8790583,"stimulus","none"
"20_101",20,"101",56,-2.041176312,-116.9507879,"stimulus","none"
"20_102",20,"102",56,0.070943811,4.064780925,"stimulus","none"
